n_deltas,deltas_sample,n_versions_mentioned,version_scores,n_score_progresses,score_progresses_sample,ref
1,3=2→64,2,v2:0.937|v2:0.934,0,,cliff376/bc26-public-gate-pc010-ms2-domain005-v1
1,3=2→64,2,v2:0.937|v2:0.934,0,,cliff376/bc26-public-gate-pc010-ms2-v1
1,3=2→64,2,v2:0.937|v2:0.934,0,,cliff376/bc26-public-konbu-train-audio-head-v1
3,d_model=192→256|increased from=128→256|increased from=2→3,1,v17:0.924,0,,cliff376/bc26-public-uday-mamba-v1
15,1=2→15|0=02→0.004|0=03→0.01|2=5→0.30|0=01→0.003|0=02→0.004|1=5→0.20|6=4→128|1=6→8|1=2→15,0,,0,,cliff376/birdclef-2026-public-mtoshi-safe-v1
0,,0,,0,,croftadams/birdclef-2026-nuclear-corrected-v2
0,,0,,0,,croftadams/birdclef-2026-nuclear-system-v2-data-robust
0,,0,,0,,croftadams/nuclear-birdclef-domination
0,,0,,0,,croftadams/nuclear-birdclef-final-working
1,3=2→64,0,,0,,croftadams/v19-quantized-ensemble-birdclef-2026
0,,4,v1:0.798|v2:0.826|v2:0.912|v5:0.927,0,,dacquaviva/birdclef-2026-imaad-v50-perch-protossm
0,,0,,0,,damianleandrotamburi/20260329-birdclef
0,,0,,0,,dankopenko/birdclef2026-baseline
0,,0,,0,,dankopenko/birdclef2026-perch-cnn-ensemble
0,,0,,0,,davidsario/notebooke6c5c986df
0,,0,,0,,dedquoc/birdclef-2026-the-robust-submission-starter
0,,0,,0,,dedquoc/multi-taxa-inference-perch-v2
0,,0,,0,,deep262003/birdclef-2026-efficientnet
0,,0,,0,,deep262003/birdclef-2026-training
0,,0,,0,,demirkadir04/birdclef-competition
0,,0,,0,,deniszaytseff/baseline-birdclef2026
0,,0,,0,,dennyloevlie/19-minute-runtime-neuropts-hypersearch
0,,0,,0,,dheerajkashalkar/bird-eda
1,2=24→3,0,,0,,dhvanilsheth/birdclef26-eda-training-sed-inference
0,,0,,0,,dhyey654/birdclef2026-starter
1,3=2→64,0,,0,,dhyuk54/birdclef-2026-onnx-perch-sequence-modeling
0,,0,,0,,dinaamel/birdclef-competition-2026
3,d_model=192→256|increased from=128→256|increased from=2→3,1,v17:0.924,0,,dingjiarun/pantanal-distill-birdclef2026-onnx
0,,0,,0,,djenkivanov/birdclef-2026-simple-perch-starter
0,,0,,0,,duyanhcraven/notebook7aadda0167
3,PCA dimension increased from=32→64|1=5→0.75|3=2→64,0,,0,,edomingo/sub-080-yuriy-dualssm
2,dari=10→2|dari=3→2,0,,0,,elizasirait/coba-coba
0,,0,,0,,emanafi/birdclef-2026
0,,0,,0,,emanuellcs/birdclef-2026-i-o-preprocessing
0,,0,,0,,emanuellcs/birdclef-2026-inference
