ref,title,author,lastRunTime,totalVotes
azh1sdad/bc26-submit-v2-protossm-sed-gate-blend,BC26 Submit v2 - ProtoSSM + SED Gate Blend,Azhi,2026-05-07 09:22:36.313000,0
wuwenmin/birdclef-2026-v20-all,BirdCLEF 2026 v20 all,william.wu,2026-05-06 14:49:20.973000,0
wuwenmin/birdclef-2026-v19-cont,BirdCLEF 2026 v19 cont,william.wu,2026-05-06 14:49:17.360000,0
wuwenmin/birdclef-2026-v18-fake,BirdCLEF 2026 v18 fake,william.wu,2026-05-06 14:49:15.313000,0
wuwenmin/birdclef-2026-v17-head,BirdCLEF 2026 v17 head,william.wu,2026-05-06 14:49:11.310000,0
sjoerddelangen/v19-onnxseq-ensebmle,v19-ONNXseq_ensebmle,Sjoerd de langen,2026-05-11 11:17:13.077000,0
wuwenmin/birdclef-2026-v07c-ours-weight-15,BirdCLEF 2026 v07c ours weight 15,william.wu,2026-05-06 11:53:56.787000,0
wuwenmin/birdclef-2026-v07b-ours-weight-10,BirdCLEF 2026 v07b ours weight 10,william.wu,2026-05-06 11:53:54.193000,0
kosuke123/birdclef-2026-mattia-scaled-hgnet-v4,BirdCLEF 2026 mattia scaled + HGNet v4,diet1236364,2026-05-06 10:52:17.967000,0
cliff376/bc26-public-gate-pc010-domain002-v1,BC26 Public Gate PC010 Domain002 V1,cliff376,2026-05-06 07:36:33.450000,0
goose666/protossm-infer,protossm-infer,goose666,2026-05-05 16:38:48.080000,0
goose666/protossm-train,protossm-train,goose666,2026-05-05 16:26:04.150000,0
goose666/abl-3-no-focal,abl-3-no-focal,goose666,2026-05-05 15:07:28.347000,0
goose666/abl-2-no-mixup,abl-2-no-mixup,goose666,2026-05-05 15:06:23.547000,0
goose666/abl-1-no-residual-ssm,abl-1-no-residual-ssm,goose666,2026-05-05 14:50:36.297000,0
goose666/protossm-baseline-birdclef2026,protossm-baseline-birdclef2026,goose666,2026-05-05 16:06:55.890000,0
henryszy/bc2026-mattia-all-public-v9,bc2026-mattia-all-public-v9,Henryszy,2026-05-05 14:43:10.130000,0
hirotakaiwasawa/birdclef-datacheck,BirdCLEF_datacheck,Hirotaka Iwasawa,2026-05-05 07:24:41.217000,0
