ref,title,author,lastRunTime,totalVotes
octaviograu/birdclef26-exp-v4-rank-power,BirdCLEF26 EXP v4-rank-power,Octavi Grau,2026-04-07 10:25:08.127000,5
pacerq/birdclef2026-v39-combined,birdclef2026-v39-combined,sysMirror,2026-04-07 00:22:33.840000,3
pacerq/birdclef2026-v40-conservative,birdclef2026-v40-conservative,sysMirror,2026-04-07 00:23:25.867000,1
pacerq/birdclef2026-v41-7seed-3tta,birdclef2026-v41-7seed-3tta,sysMirror,2026-04-07 01:15:13.007000,1
pacerq/birdclef2026-v42-7seed-proto,birdclef2026-v42-7seed-proto,sysMirror,2026-04-07 01:16:10.717000,1
udaken10/ensemble-ensemble-ensemble,Ensemble!Ensemble!Ensemble!,really?,2026-05-12 11:47:07.477000,1
pacerq/birdclef2026-v43-7seed,birdclef2026-v43-7seed,sysMirror,2026-04-07 04:21:43.603000,1
pacerq/birdclef2026-v44-pretrained,birdclef2026-v44-pretrained,sysMirror,2026-04-07 06:21:55.067000,0
mrmshahidsardar/birdclef-2026-acoustic-species-identification,BirdCLEF 2026: Acoustic Species Identification,Mᴜʜᴀᴍᴍᴀᴅ Sʜᴀʜɪᴅ Sᴀʀᴅᴀʀ,2026-04-07 05:51:26.713000,11
abdulrehmanyousafzai/birdclef-2026-2,BirdCLEF+ 2026 2,Abdul Rehman Yousafzai,2026-04-17 18:06:21.073000,0
wslllll/birdclef-2026-improved-ensemble-v1,birdclef-2026-improved-ensemble-v1,wslllll,2026-04-07 14:40:45.557000,1
wslllll/birdclef-2026-v4-enhanced-mlp,birdclef-2026-v4-enhanced-mlp,wslllll,2026-04-07 15:27:29.040000,0
wslllll/birdclef-2026-v6-more-tta,birdclef-2026-v6-more-tta,wslllll,2026-04-07 15:27:36.160000,0
wslllll/birdclef-2026-v8-stronger-rank,birdclef-2026-v8-stronger-rank,wslllll,2026-04-07 15:27:42.067000,0
wslllll/birdclef-2026-v10-finer-delta,birdclef-2026-v10-finer-delta,wslllll,2026-04-07 15:27:49.470000,0
miaaaf/birdclef-2026-v1-baseline,birdclef-2026-v1-baseline,Miaaa F,2026-04-07 15:31:40.753000,0
miaaaf/birdclef-2026-v3-isotonic,birdclef-2026-v3-isotonic,Miaaa F,2026-04-07 15:31:59.393000,0
miaaaf/birdclef-2026-v5-largerssm,birdclef-2026-v5-largerssm,Miaaa F,2026-04-07 15:32:15.477000,0
miaaaf/birdclef-2026-v7-aggtemp,birdclef-2026-v7-aggtemp,Miaaa F,2026-04-07 15:32:30.780000,0
miaaaf/birdclef-2026-v9-residual,birdclef-2026-v9-residual,Miaaa F,2026-04-07 15:32:48.913000,0
pacerq/v47-15-exact-match-local-seeds-x-5-tta,V47 15 exact-match local seeds x 5 TTA,sysMirror,2026-04-07 18:48:10.807000,0
miaaaf/birdclef-2026-speed-fixed,birdclef-2026-speed-fixed,Miaaa F,2026-04-07 23:05:57.417000,1
wslllll/birdclef-2026-fast-baseline,birdclef-2026-fast-baseline,wslllll,2026-04-07 23:14:43.870000,1
wslllll/birdclef-2026-ultra-fast,birdclef-2026-ultra-fast,wslllll,2026-04-07 23:15:02.433000,1
miaaaf/birdclef-2026-m1-fast,birdclef-2026-m1-fast,Miaaa F,2026-04-07 23:15:55.447000,1
miaaaf/birdclef-2026-m2-fast,birdclef-2026-m2-fast,Miaaa F,2026-04-07 23:16:04.653000,1
melccoro/birdclef-2026-eda-a-beginner-s-guide,🐦 BirdCLEF 2026 EDA: A Beginner’s Guide,melccoro,2026-04-10 13:30:29.753000,24
pacerq/v47-15-seed-exact-cache-fix,V47 15-seed exact + cache fix,sysMirror,2026-04-08 04:13:08.490000,0
pacerq/v43-7-seed-cache-fix,V43 7-seed cache fix,sysMirror,2026-04-08 04:13:11.873000,2
pacerq/v48-timing-test-100-files,V48 timing test 100 files,sysMirror,2026-04-08 07:22:14.063000,0
pacerq/v49-v36-2seeds-3tta-minimal,V49 V36+2seeds-3tta minimal,sysMirror,2026-04-08 07:34:29.340000,1
pacerq/v50-onnx-perch-path-fix,V50 ONNX Perch path fix,sysMirror,2026-04-08 08:05:45.143000,3
miaaaf/birdclef26-v18x-625871,birdclef26-v18x-625871,Miaaa F,2026-04-08 13:57:16.680000,0
wslllll/birdclef26-v18x-696669,birdclef26-v18x-696669,wslllll,2026-04-08 13:58:25.637000,0
matrixamp/birdclef2026-yusuf-improvement-fork,BirdCLEF2026-yusuf-improvement-fork,Mohammad Fateminia,2026-04-09 12:43:57.367000,1
matrixamp/birdclef2026-koushik-fork,BirdCLEF2026 Koushik Fork,Mohammad Fateminia,2026-04-17 20:47:54.500000,1
udaken10/first-eda-data-cleaning,first_EDA_DATA_CLEANING,really?,2026-05-15 07:48:13.660000,5
piyushgupta006/notebook2cec41f854,notebook2cec41f854,PiyushGupta,2026-05-02 10:01:20.280000,0
anmatngu/birdclef-2026-train,BirdCLEF 2026 Train,nxank4,2026-04-13 06:06:42.557000,1
mtoshidesu/pantanal-distill-birdclef2026-onnx,pantanal-distill-birdclef2026-ONNX,m-toshi desu,2026-04-15 15:57:07.517000,1
miaaaf/pantanal-distill-birdclef2026-miaaaf-d384-nlayers5,pantanal-distill-birdclef2026-miaaaf-d384-nlayers5,Miaaa F,2026-04-10 11:44:28.117000,1
wslllll/pantanal-distill-birdclef2026-wslll-d384-do08-a49,pantanal-distill-birdclef2026-wslll-d384-do08-a49,wslllll,2026-04-10 11:47:25.197000,1
mtoshidesu/birdclef-2026-protossm-v19-jupyter-notebook,BirdCLEF_2026_ProtoSSM_v19_Jupyter_Notebook,m-toshi desu,2026-04-11 02:28:58.517000,0
gatandubuc/a-bird-s-song-story,A Bird's Song Story,Gaétan Dubuc,2026-04-16 08:14:54.823000,15
miaaaf/pantanal-distill-birdclef2026-v18x-d384-nl5,pantanal-distill-birdclef2026-v18x-d384-nl5,Miaaa F,2026-04-12 02:20:27.427000,1
miaaaf/pantanal-distill-birdclef2026-miaaaf-d384-nl5-ca4,pantanal-distill-birdclef2026-miaaaf-d384-nl5-ca4,Miaaa F,2026-04-12 02:48:50.833000,2
miaaaf/pantanal-distill-birdclef2026-miaaaf-d384-a52,pantanal-distill-birdclef2026-miaaaf-d384-a52,Miaaa F,2026-04-12 09:33:38.410000,2
miaaaf/pantanal-distill-birdclef2026-wslll-xd416nl5-a,pantanal-distill-birdclef2026-wslll-xd416nl5-a,Miaaa F,2026-04-12 03:02:48.863000,2
miaaaf/pantanal-distill-birdclef2026-wslll-xds48nl5-b,pantanal-distill-birdclef2026-wslll-xds48nl5-b,Miaaa F,2026-04-12 03:03:38.313000,2
