,alexander_b0,baiyuby_v2s_max,baiyuby_v2s_att,long_convnextv2,mauricio_b0_scratch,snowflake_convnext,snowflake_efnetv2m,pseudo_hour_prior,labeled_hour_prior,n_positives
47158son21,0.99771776340814,0.18600228223659188,0.7979586661595031,0.99911246354761,0.999049068086725,0.8524153670597184,0.7905413972359578,0.9818688981868898,0.9818688981868898,22
47158son06,0.6614270303590691,0.15472337802434888,0.7466481738326398,0.36492525812914156,0.7246108799506857,0.9076128833410387,0.7660656495607951,0.9680998613037448,0.9680998613037448,18
47158son04,0.3209222747270653,0.08065830210200425,0.8170115691706045,0.6042854815056217,0.5282711422519146,0.6992015642822227,0.627912660909239,0.9614225191461626,0.9614225191461626,17
47158son08,0.909972299168975,0.4759654554342513,0.4392211178100049,0.8484601596871436,0.7407528108196187,0.5762587583509858,0.6445331595241974,0.9374694476128401,0.9697327684536419,17
47144,0.7238489871086555,0.41915285451197054,0.6531307550644567,0.5662062615101289,0.5266114180478821,0.3417127071823204,0.4485267034990792,0.9052025782688766,0.9052025782688765,15
bufpar,0.36009852216748767,0.5352709359605912,0.41517241379310343,0.4877832512315271,0.3062068965517241,0.3114285714285714,0.45931034482758615,0.8914285714285713,0.9954679802955666,14
orwpar,0.2877728332273787,0.6655011655011656,0.5506463233735961,0.4891926255562619,0.5501165501165501,0.1320194956558593,0.45390972663699936,0.9758953168044078,0.9758953168044078,13
116570,0.9527442254714982,0.18351345624072896,0.7524899343081162,0.8418097054460689,0.9312354312354313,0.9236066963339691,0.8508158508158509,0.948559016740835,0.9485590167408349,13
516975,0.9582538673447765,0.22896800169527443,0.6673023945751217,0.5297732570459843,0.9732994278448823,0.8539944903581268,0.8200890019071838,0.9731404958677685,0.9731404958677685,13
25073,0.36737734983952314,0.12631820265933058,0.6640302613480055,0.6876432828977534,0.2088491517652453,0.7223750573131591,0.5441311325080238,0.983493810178817,0.983493810178817,12
47158son14,0.6825997248968363,0.2330353049060064,0.4680192572214581,0.3678358551123338,0.7049518569463549,0.577716643741403,0.7618065107748739,0.9834938101788171,0.983493810178817,12
43435,0.6339981659789088,0.21572673085740487,0.3177441540577717,0.43592388812471344,0.8698991288399817,0.5921595598349381,0.7165291150848234,0.9834938101788171,0.983493810178817,12
47158son18,1.0,0.1297569922054104,0.9104768454837231,0.9893397524071528,0.9998853736817974,0.9238881247134342,0.7839293901879871,0.9834938101788171,0.983493810178817,12
47158son15,1.0,0.0747363594681339,0.8336772122879413,0.8289775332416323,0.9995414947271895,0.8476616231086658,0.7536680421824851,0.9834938101788171,0.983493810178817,12
redjun,0.35694635488308113,0.6529115084823476,0.6983035304906007,0.28392939018798713,0.4721458046767538,0.6252865657955067,0.6315910132966529,0.9504814305364512,0.9504814305364513,12
47158son16,1.0,0.07003668042182486,0.8251948647409445,0.8222145804676753,0.9995414947271895,0.8108665749656121,0.7630674002751031,0.9834938101788171,0.983493810178817,12
47158son20,1.0,0.4157496561210454,0.4751260889500229,0.9966758367721229,1.0,0.8505272810637322,0.6906235671710225,0.9834938101788171,0.983493810178817,12
nacnig1,0.3181818181818182,0.24712787212787213,0.3206793206793207,0.6264985014985015,0.16283716283716285,0.3738761238761239,0.21928071928071927,0.9333791208791209,0.9333791208791209,11
hyamac1,0.3083676268861454,0.47681755829903977,0.35775034293552815,0.587517146776406,0.38477366255144035,0.2529492455418381,0.5367626886145405,0.9986282578875172,0.9986282578875171,10
65377,0.48964992389649925,0.37625570776255707,0.6386605783866057,0.5176560121765601,0.40243531202435306,0.5191780821917809,0.4774733637747336,0.7102739726027397,0.9404109589041095,9
bafcur1,0.7188736681887367,0.05601217656012177,0.12526636225266363,0.6487062404870624,0.717503805175038,0.9602739726027397,0.952359208523592,0.9732876712328767,0.9732876712328767,9
67107,0.08356164383561643,0.1549467275494673,0.2266362252663622,0.7780821917808218,0.08995433789954338,0.5523592085235921,0.2318112633181126,0.9815068493150685,0.9815068493150685,9
47158son02,0.6557377049180328,0.14637002341920374,0.6715456674473068,0.37626854020296646,0.7174082747853239,0.7640515222482437,0.6920374707259953,0.980191256830601,0.9801912568306012,7
47158son09,0.4104138244656662,0.042064574806730315,0.7530695770804912,0.7971805366075488,0.4811277853569804,0.4843110504774898,0.44065484311050473,0.9795361527967258,0.9795361527967258,6
magant1,0.4326975476839237,0.7193460490463216,0.4550408719346049,0.3547683923705722,0.37138964577656675,0.42397820163487737,0.537874659400545,0.970708446866485,0.9707084468664849,5
47158son19,0.9931880108991826,0.388283378746594,0.6613079019073569,0.9961852861035423,0.999182561307902,0.5989100817438692,0.7384196185286104,0.9788828337874659,0.9788828337874659,5
47158son12,0.491008174386921,0.026158038147138952,0.9700272479564033,0.6779291553133515,0.48010899182561306,0.22833787465940053,0.4100817438692098,0.9788828337874659,0.9788828337874659,5
purjay1,0.46975476839237057,0.6059945504087193,0.32070844686648503,0.6010899182561308,0.5735694822888283,0.21416893732970027,0.8820163487738419,0.9707084468664849,0.9707084468664849,5
rufhor2,0.31666666666666665,0.2972789115646258,0.9078231292517007,0.6894557823129253,0.7653061224489796,0.7312925170068028,0.6806122448979592,0.9292517006802721,0.9782312925170068,4
47158son05,0.45516304347826086,0.13179347826086957,0.8414855072463768,0.8269927536231884,0.4157608695652174,0.6109601449275363,0.5878623188405796,0.9585597826086956,0.9585597826086957,3
fusfly1,0.7518115942028986,0.5892210144927537,0.6381340579710144,0.23007246376811596,0.4913949275362319,0.2622282608695652,0.2767210144927536,0.969429347826087,0.969429347826087,3
limpki,0.6046195652173912,0.5634057971014492,0.37907608695652173,0.24592391304347824,0.3609601449275362,0.17889492753623185,0.22327898550724637,0.969429347826087,0.969429347826087,3
compot1,0.8817934782608695,0.6816123188405797,0.5271739130434783,0.9057971014492754,0.6847826086956521,0.6000905797101449,0.4542572463768116,0.9667119565217391,0.9667119565217391,3
67252,0.6194029850746269,0.6994572591587517,0.9436906377204884,0.6424694708276797,0.22116689280868385,0.6126187245590231,0.1397557666214383,0.9667571234735414,0.9667571234735414,2
74113,0.02781546811397556,0.25101763907734054,0.7293080054274084,0.4599728629579376,0.2611940298507463,0.18792401628222521,0.2693351424694708,0.9280868385345997,0.9280868385345997,2
bunibi1,0.49525101763907736,0.11194029850746268,0.6702849389416554,0.05902306648575306,0.17774762550881956,0.635685210312076,0.5373134328358209,0.9280868385345997,0.9443690637720489,2
grekis,0.9586160108548168,0.2082767978290367,0.24559023066485752,0.7042062415196744,0.9464043419267301,0.7048846675712348,0.8934871099050203,0.8521031207598372,0.9660786974219809,2
thlwre1,0.9701492537313433,0.24491180461329715,0.3005427408412483,0.6160108548168249,0.9328358208955224,0.7184531886024423,0.664179104477612,0.966078697421981,0.9660786974219809,2
strher2,0.1662143826322931,0.2109905020352782,0.30122116689280864,0.675033921302578,0.14450474898236088,0.5949796472184532,0.4952510176390773,0.9280868385345997,0.9280868385345997,2
plcjay1,0.9688346883468835,0.20867208672086723,0.940379403794038,0.4322493224932249,0.986449864498645,0.994579945799458,0.948509485094851,0.9654471544715447,0.9654471544715447,1
ruther1,0.8102981029810298,0.3130081300813008,0.36991869918699183,0.4932249322493225,0.3577235772357723,0.7859078590785908,0.8766937669376693,0.9681571815718157,0.9681571815718157,1
sibtan2,0.01490514905149054,0.6287262872628726,0.926829268292683,0.11517615176151763,0.5311653116531165,0.37262872628726285,0.8888888888888888,0.9925474254742548,0.9925474254742547,1
rutjac1,0.13279132791327908,0.5772357723577235,0.27235772357723576,0.7913279132791328,0.17344173441734423,0.4349593495934959,0.06910569105691056,0.9681571815718156,0.9681571815718157,1
wfwduc1,0.2764227642276422,0.06233062330623307,0.6273712737127372,0.37262872628726285,0.5772357723577235,0.5352303523035231,0.5582655826558265,0.9681571815718157,0.9681571815718157,1
