,perch_v2_raw,bruce_clip_ridge,alexander_b0,baiyuby_v2s_max_FLIPPED,baiyuby_v2s_att,long_convnextv2,mauricio_b0_scratch,snowflake_convnext,snowflake_efnetv2m,n_positives
555146,0.9560446484832118,0.955981636510937,0.7452696012242326,0.28547123953551173,0.2266450625618868,0.7577639751552795,0.7819785759294265,0.6297506526239985,0.7100999189846071,210
65377,0.9599695585996956,0.9582952815829529,0.48964992389649925,0.623744292237443,0.6386605783866057,0.5176560121765601,0.40243531202435306,0.5191780821917809,0.4774733637747336,9
65380,0.9704729359901774,0.9693486590038314,0.7358023047678219,0.28597316528351013,0.3729567005429074,0.6878282223109808,0.7807437979851772,0.6075459696149351,0.70426707495673,333
66971,0.9567284723012172,0.9568194744625185,0.812069161642589,0.261403708338073,0.3357183483107724,0.6721874644522808,0.7945398703219202,0.7191787054942553,0.7675691047662382,149
67107,0.8114155251141553,0.8094368340943683,0.08356164383561643,0.8450532724505326,0.2266362252663622,0.7780821917808218,0.08995433789954338,0.5523592085235921,0.2318112633181126,9
67252,1.0,1.0,0.6194029850746269,0.30054274084124827,0.9436906377204884,0.6424694708276797,0.22116689280868385,0.6126187245590231,0.1397557666214383,2
74113,0.9158751696065129,0.9084124830393487,0.02781546811397556,0.7489823609226595,0.7293080054274084,0.4599728629579376,0.2611940298507463,0.18792401628222521,0.2693351424694708,2
bafcur1,0.9799086757990868,0.9797564687975647,0.7188736681887367,0.9439878234398782,0.12526636225266363,0.6487062404870624,0.717503805175038,0.9602739726027397,0.952359208523592,9
bufpar,0.9991133004926108,0.9991133004926108,0.36009852216748767,0.4647290640394089,0.41517241379310343,0.4877832512315271,0.3062068965517241,0.3114285714285714,0.45931034482758615,14
bunibi1,0.7360922659430121,0.710990502035278,0.49525101763907736,0.8880597014925373,0.6702849389416554,0.05902306648575306,0.17774762550881956,0.635685210312076,0.5373134328358209,2
chacha1,0.9497146770143803,0.9520657384158868,0.5121889979456746,0.5124629080118694,0.6265236247432093,0.4528874686144716,0.5917826980141521,0.578817621547592,0.5914859621091074,65
chvcon1,0.999310064935065,0.9992694805194805,0.3749594155844156,0.3150974025974026,0.4039772727272727,0.30008116883116887,0.5253246753246753,0.22081980519480518,0.24630681818181815,35
compau,0.9536376604850214,0.9404234552143554,0.8047901494106164,0.5052556498235603,0.6055634807417974,0.7779863353104587,0.7149560777836174,0.7379307755837525,0.5966288760417449,38
compot1,0.9769021739130435,0.9719202898550725,0.8817934782608695,0.3183876811594203,0.5271739130434783,0.9057971014492754,0.6847826086956521,0.6000905797101449,0.4542572463768116,3
fusfly1,0.9990942028985508,0.9990942028985508,0.7518115942028986,0.4107789855072464,0.6381340579710144,0.23007246376811596,0.4913949275362319,0.2622282608695652,0.2767210144927536,3
grekis,0.9993215739484397,0.9993215739484397,0.9586160108548168,0.7917232021709635,0.24559023066485752,0.7042062415196744,0.9464043419267301,0.7048846675712348,0.8934871099050203,2
hyamac1,0.9983539094650206,0.9968449931412895,0.3083676268861454,0.5231824417009603,0.35775034293552815,0.587517146776406,0.38477366255144035,0.2529492455418381,0.5367626886145405,10
limpki,0.9397644927536233,0.9347826086956522,0.6046195652173912,0.4365942028985507,0.37907608695652173,0.24592391304347824,0.3609601449275362,0.17889492753623185,0.22327898550724637,3
litnig1,0.914953414953415,0.9143374143374144,0.6792176792176792,0.45834295834295835,0.5775005775005775,0.710980210980211,0.6152306152306153,0.5441595441595442,0.5701855701855701,37
magant1,0.8681198910081744,0.881198910081744,0.4326975476839237,0.28065395095367845,0.4550408719346049,0.3547683923705722,0.37138964577656675,0.42397820163487737,0.537874659400545,5
nacnig1,0.8151848151848153,0.824050949050949,0.3181818181818182,0.7528721278721279,0.3206793206793207,0.6264985014985015,0.16283716283716285,0.3738761238761239,0.21928071928071927,11
orwpar,0.9641873278236914,0.958041958041958,0.2877728332273787,0.33449883449883455,0.5506463233735961,0.4891926255562619,0.5501165501165501,0.1320194956558593,0.45390972663699936,13
plcjay1,0.964769647696477,0.9661246612466124,0.9688346883468835,0.7913279132791329,0.940379403794038,0.4322493224932249,0.986449864498645,0.994579945799458,0.948509485094851,1
purjay1,0.8313351498637602,0.8381471389645777,0.46975476839237057,0.39400544959128064,0.32070844686648503,0.6010899182561308,0.5735694822888283,0.21416893732970027,0.8820163487738419,5
redjun,0.4805135259055479,0.49403943145346174,0.35694635488308113,0.3470884915176524,0.6983035304906007,0.28392939018798713,0.4721458046767538,0.6252865657955067,0.6315910132966529,12
rufhor2,0.9034013605442177,0.9051020408163266,0.31666666666666665,0.7027210884353742,0.9078231292517007,0.6894557823129253,0.7653061224489796,0.7312925170068028,0.6806122448979592,4
ruther1,1.0,1.0,0.8102981029810298,0.6869918699186992,0.36991869918699183,0.4932249322493225,0.3577235772357723,0.7859078590785908,0.8766937669376693,1
rutjac1,0.9525745257452575,0.9607046070460704,0.13279132791327908,0.4227642276422764,0.27235772357723576,0.7913279132791328,0.17344173441734423,0.4349593495934959,0.06910569105691056,1
sibtan2,1.0,1.0,0.01490514905149054,0.3712737127371274,0.926829268292683,0.11517615176151763,0.5311653116531165,0.37262872628726285,0.8888888888888888,1
strher2,0.5345997286295794,0.5990502035278155,0.1662143826322931,0.7890094979647219,0.30122116689280864,0.675033921302578,0.14450474898236088,0.5949796472184532,0.4952510176390773,2
thlwre1,0.9918588873812754,0.9918588873812755,0.9701492537313433,0.7550881953867028,0.3005427408412483,0.6160108548168249,0.9328358208955224,0.7184531886024423,0.664179104477612,2
trsowl,0.6377710648397885,0.5856079404466502,0.7104326248786277,0.3791131729420649,0.6832452260222246,0.6565972596828138,0.6897184162261302,0.6928471248246845,0.6785521631243931,26
undtin1,0.8470997059609731,0.8420208500400963,0.5966987436514302,0.40019379844961245,0.5421344560278001,0.5866078588612671,0.5846698743651431,0.396685378241112,0.4508152900294039,43
wfwduc1,1.0,1.0,0.2764227642276422,0.9376693766937669,0.6273712737127372,0.37262872628726285,0.5772357723577235,0.5352303523035231,0.5582655826558265,1
whtdov,0.9756738987508219,0.9655771578848502,0.35432516201746966,0.4146003569080492,0.41110171879402646,0.24957734573119186,0.3244810744810745,0.27737860430168126,0.3351530947684793,63
